eps,min_samples,n_clusters,n_noise,pct_noise,silhouette
0.2,3,0,973,100.0,
0.2,5,0,973,100.0,
0.2,8,0,973,100.0,
0.2,12,0,973,100.0,
0.3,3,0,973,100.0,
0.3,5,0,973,100.0,
0.3,8,0,973,100.0,
0.3,12,0,973,100.0,
0.4,3,0,973,100.0,
0.4,5,0,973,100.0,
0.4,8,0,973,100.0,
0.4,12,0,973,100.0,
0.5,3,0,973,100.0,
0.5,5,0,973,100.0,
0.5,8,0,973,100.0,
0.5,12,0,973,100.0,
0.7,3,0,973,100.0,
0.7,5,0,973,100.0,
0.7,8,0,973,100.0,
0.7,12,0,973,100.0,
1.0,3,2,967,99.38335046248716,-0.03276177926168893
1.0,5,0,973,100.0,
1.0,8,0,973,100.0,
1.0,12,0,973,100.0,
1.5,3,31,808,83.04213771839672,-0.2836338548223022
1.5,5,8,921,94.65570400822199,-0.1938840001311849
1.5,8,1,962,98.86947584789311,
1.5,12,0,973,100.0,
2.0,3,21,254,26.104830421377184,-0.1128845528064403
2.0,5,6,399,41.007194244604314,-0.06205430244664395
2.0,8,6,543,55.80678314491264,-0.09833397086326169
2.0,12,6,761,78.21171634121275,-0.13462656190470593
